       Wavelength             Transmission
2.809089999999999865e+00 6.949693920611440222e-03
2.811895000000000255e+00 6.974404420611439795e-03
2.814702999999999733e+00 7.224263420611439640e-03
2.817514000000000074e+00 7.030699920611440008e-03
2.820326999999999806e+00 7.001842920611440688e-03
2.823142999999999958e+00 7.056223420611440131e-03
2.825962000000000085e+00 7.051631920611440424e-03
2.828783999999999743e+00 6.921738920611439708e-03
2.831609000000000265e+00 7.009379920611439989e-03
2.834436000000000178e+00 6.969839920611439754e-03
2.837267000000000206e+00 7.047575420611440142e-03
2.840100000000000069e+00 6.998700920611440439e-03
2.842935999999999908e+00 7.078031920611439765e-03
2.845774000000000026e+00 6.969704920611439689e-03
2.848616000000000259e+00 7.194531920611440048e-03
2.851461000000000023e+00 6.952369920611440289e-03
2.854308000000000067e+00 7.009086420611440084e-03
2.857158000000000087e+00 6.995633920611440612e-03
2.860010999999999637e+00 7.095614420611439863e-03
2.862867000000000051e+00 6.947259920611440279e-03
2.865724999999999856e+00 7.026469920611439976e-03
2.868586999999999776e+00 6.966849420611440427e-03
2.871450999999999976e+00 7.017096920611439956e-03
2.874318999999999846e+00 6.966308420611439824e-03
2.877188999999999997e+00 6.949119420611439904e-03
2.880062000000000122e+00 6.925753420611440413e-03
2.882938000000000223e+00 6.961762920611440190e-03
2.885816000000000159e+00 6.988266920611440301e-03
2.888697999999999766e+00 7.020304920611440160e-03
2.891582000000000097e+00 6.984411920611440644e-03
2.894470000000000098e+00 6.928602920611440230e-03
2.897359999999999935e+00 7.072963920611440199e-03
2.900253000000000192e+00 7.085159420611440370e-03
2.903148999999999980e+00 6.984744920611440575e-03
2.906047999999999742e+00 6.943760920611439721e-03
2.908949999999999925e+00 7.021557420611440094e-03
2.911853999999999942e+00 7.009233920611439642e-03
2.914761999999999631e+00 7.007524420611439993e-03
2.917672999999999739e+00 6.968327420611439629e-03
2.920586000000000126e+00 6.939401920611439935e-03
2.923502000000000045e+00 7.003048920611439944e-03
2.926420999999999939e+00 7.067252920611439941e-03
2.929343999999999948e+00 6.941742420611440520e-03
2.932269000000000236e+00 6.997607920611440685e-03
2.935197000000000056e+00 6.940829420611440564e-03
2.938127999999999851e+00 7.063607420611440167e-03
2.941060999999999925e+00 6.931606420611439653e-03
2.943998000000000115e+00 6.924567920611439907e-03
2.946937999999999835e+00 6.961075920611440107e-03
2.949880000000000280e+00 6.984201920611440156e-03
2.952825999999999951e+00 6.966470920611440160e-03
2.955775000000000041e+00 6.994713920611440004e-03
2.958725999999999967e+00 7.011534920611440201e-03
2.961679999999999868e+00 6.996335420611440002e-03
2.964638000000000329e+00 6.906117920611440190e-03
2.967598000000000180e+00 7.056605920611440028e-03
2.970561000000000007e+00 6.918034920611440368e-03
2.973527000000000253e+00 6.995979420611440035e-03
2.976496999999999726e+00 6.959708920611439725e-03
2.979468999999999923e+00 6.965782920611440603e-03
2.982444000000000095e+00 7.016750920611439929e-03
2.985421999999999798e+00 6.943284420611440730e-03
2.988402999999999921e+00 6.961420920611440660e-03
2.991387000000000018e+00 7.069318920611440162e-03
2.994374000000000091e+00 6.974275420611440041e-03
2.997364000000000139e+00 6.979397920611439543e-03
3.000357000000000163e+00 7.010005420611440351e-03
3.003353000000000161e+00 6.959077420611439919e-03
3.006352000000000135e+00 7.093762420611439759e-03
3.009354000000000084e+00 7.081339420611440505e-03
3.012359000000000009e+00 6.960259920611440269e-03
3.015366999999999909e+00 6.952302420611440256e-03
3.018377999999999783e+00 7.043203420611440259e-03
3.021392000000000078e+00 7.003937420611439785e-03
3.024408999999999903e+00 6.935678920611440187e-03
