       Wavelength             Transmission
1.231805000000000039e+00 7.221609000000000361e-03
1.233035000000000103e+00 6.737037000000000407e-03
1.234266000000000085e+00 6.604267000000000470e-03
1.235499000000000125e+00 6.497272000000000117e-03
1.236731999999999942e+00 6.983627999999999537e-03
1.237967000000000040e+00 6.350858999999999498e-03
1.239203999999999972e+00 6.403082000000000044e-03
1.240441000000000127e+00 6.433013999999999920e-03
1.241679999999999895e+00 6.279850999999999489e-03
1.242919000000000107e+00 6.613546000000000528e-03
1.244161000000000072e+00 6.401881999999999365e-03
1.245403000000000038e+00 6.325469999999999704e-03
1.246646000000000143e+00 6.411677999999999648e-03
1.247890999999999861e+00 6.396439000000000291e-03
1.249136999999999942e+00 6.612662000000000054e-03
1.250384999999999858e+00 6.188274000000000552e-03
1.251632999999999996e+00 6.552143999999999330e-03
1.252882999999999969e+00 6.200755000000000502e-03
1.254134000000000082e+00 6.375397000000000529e-03
1.255385999999999891e+00 6.925785000000000274e-03
1.256639999999999979e+00 7.125264999999999550e-03
1.257894999999999985e+00 6.644693000000000127e-03
1.259151000000000131e+00 6.386320000000000018e-03
1.260407999999999973e+00 6.384587000000000595e-03
1.261667000000000094e+00 6.366048000000000019e-03
1.262925999999999993e+00 6.336206000000000477e-03
1.264188000000000089e+00 6.370774000000000055e-03
1.265450000000000186e+00 6.481434999999999801e-03
1.266712999999999978e+00 6.594795999999999991e-03
1.267978000000000049e+00 6.344028999999999294e-03
1.269244000000000039e+00 6.494001999999999587e-03
1.270512000000000086e+00 7.045782000000000433e-03
1.271781000000000050e+00 6.279810000000000253e-03
1.273050000000000015e+00 7.042173000000000530e-03
1.274321999999999955e+00 6.329850000000000580e-03
1.275593999999999895e+00 6.407939999999999990e-03
1.276867999999999892e+00 6.340392000000000250e-03
1.278143000000000029e+00 6.400304999999999363e-03
1.279419000000000084e+00 6.465933000000000097e-03
1.280696999999999974e+00 6.414845000000000616e-03
1.281974999999999865e+00 6.606286000000000276e-03
1.283255999999999952e+00 6.938649000000000726e-03
1.284536999999999818e+00 6.590671000000000203e-03
1.285819999999999963e+00 6.304821999999999857e-03
1.287104000000000026e+00 6.466653999999999632e-03
1.288389000000000006e+00 6.661702000000000248e-03
1.289675000000000127e+00 6.839528999999999574e-03
1.290963000000000083e+00 6.337055000000000292e-03
1.292251999999999956e+00 6.705901000000000223e-03
1.293542000000000192e+00 6.797784999999999765e-03
1.294834000000000040e+00 6.598882999999999832e-03
1.296127000000000029e+00 6.687689999999999607e-03
1.297420999999999935e+00 6.495892999999999980e-03
1.298716999999999899e+00 6.428681999999999799e-03
1.300014000000000003e+00 6.269444999999999359e-03
1.301312000000000024e+00 6.888037999999999973e-03
1.302610999999999963e+00 6.388035000000000241e-03
1.303911999999999960e+00 6.788096999999999881e-03
1.305213999999999874e+00 6.410062999999999699e-03
1.306516999999999928e+00 6.418303000000000202e-03
1.307822000000000040e+00 6.839136000000000000e-03
1.309128000000000069e+00 7.539704000000000371e-03
1.310435000000000016e+00 7.006824999999999512e-03
1.311743000000000103e+00 6.924204000000000643e-03
1.313053000000000026e+00 6.441833000000000108e-03
1.314363999999999866e+00 6.554650999999999880e-03
1.315676999999999985e+00 6.488791999999999303e-03
1.316991000000000023e+00 6.723236999999999963e-03
1.318306000000000200e+00 6.636585999999999874e-03
